event_id,event_type,total_attendees,load_factor,venue_capacity,risk_level
EVT01827,Movie event,12555,0.93,13500,Medium
EVT01732,Corporate Meetup,292,0.96,305,Medium
EVT01323,Marathon,12145,0.91,13347,Medium
EVT03452,Corporate Meetup,141,1.2,118,High
EVT04572,Wedding,700,1.37,511,Critical
EVT00946,Corporate Meetup,117,0.49,240,Low
EVT04776,Corporate Meetup,159,1.42,112,Critical
EVT01161,Trade Fair,2149,0.76,2828,Low
EVT02290,Political Rally,63659,0.86,74023,Medium
EVT04760,Cultural Event,3133,1.48,2117,Critical
EVT01019,Product Launch,752,0.46,1636,Low
EVT01243,Religious Gathering,30279,0.36,84109,Low
EVT00214,Wedding,333,0.58,575,Low
EVT03970,Exhibition,9496,1.34,7087,Critical
EVT03643,Exhibition,17188,1.16,14818,High
EVT03729,Trade Fair,12650,1.1,11500,High
EVT01651,Corporate Meetup,382,0.89,430,Medium
EVT01354,Movie event,20603,0.85,24239,Medium
EVT03495,Cultural Event,14899,1.16,12844,High
EVT01575,Product Launch,2348,0.96,2446,Medium
EVT04588,Conference,2540,1.79,1419,Very Critical
EVT01454,Festival,118564,0.92,128874,Medium
EVT04602,Conference,1281,1.39,922,Critical
EVT02770,Exhibition,9192,1.08,8512,High
EVT03956,Exhibition,20077,1.44,13943,Critical
EVT04257,Movie event,89702,1.73,51851,Very Critical
EVT03886,Sports Match,40579,1.37,29620,Critical
EVT02521,Exhibition,14113,1.12,12601,High
EVT03527,Festival,147947,1.15,128650,High
EVT01104,Conference,2062,0.74,2787,Low
EVT02128,Conference,1466,0.99,1481,Medium
EVT00469,Conference,193,0.42,460,Low
EVT02057,Conference,2182,0.93,2347,Medium
EVT01750,Product Launch,2407,0.99,2432,Medium
EVT00248,Trade Fair,5015,0.73,6871,Low
EVT03329,Political Rally,65565,1.29,50826,High
EVT04331,Cultural Event,23143,1.58,14648,Critical
EVT00481,Sports Match,30295,0.64,47337,Low
EVT02710,Festival,100056,1.13,88546,High
EVT00362,Political Rally,71829,0.8,89787,Low
EVT01063,Conference,428,0.42,1021,Low
EVT02175,Sports Match,12251,0.85,14413,Medium
EVT03465,Festival,134147,1.08,124211,High
EVT01200,Festival,46196,0.43,107434,Low
EVT03212,Trade Fair,5139,1.1,4672,High
EVT03845,Conference,3741,1.5,2494,Critical
EVT00273,Festival,27316,0.73,37420,Low
EVT01116,Product Launch,517,0.49,1057,Low
EVT04695,Cultural Event,8372,1.51,5545,Critical
EVT01257,Festival,115588,0.95,121672,Medium
EVT03508,Birthday Party,420,1.27,331,High
EVT01645,Movie event,28153,0.81,34758,Medium
EVT02786,Festival,154040,1.2,128367,High
EVT02904,Cultural Event,15007,1.21,12403,High
EVT02574,Movie event,15083,1.18,12783,High
EVT04990,Exhibition,13254,1.45,9141,Critical
EVT03197,Conference,1266,1.18,1073,High
EVT00286,Wedding,120,0.46,262,Low
